Address1,Address2,City,Phone,VaccineType,latitude,longitude,Take Home Test Kits,Antiviral Confirmed,Title
104-375 ST. ALBERT TR,,ST ALBERT,780-458-8000,ADULT XBB,53.64320444,-113.6226777,YES,NO,LONDON DRUGS #48
601-401 COOPERS BLVD SW,,AIRDRIE,587-254-5810,ADULT XBB,51.25705871,-114.0210533,YES,YES,SAVE-ON-FOODS PHARMACY #6603 - AIRDRIE WEST
110-10 PELICAN PL,,SYLVAN LAKE,403-864-5192,ADULT XBB,52.29941313,-114.0959723,YES,YES,PELICAN PLACE PHARMACY
102-1230 91 ST SW,,EDMONTON,780-916-1230,ADULT XBB,53.42240534,-113.4761289,YES,NO,1230 PHARMACY & TRAVEL CLINIC
13703 93 ST NW,,EDMONTON,780-760-3387,ADULT XBB,53.60025033,-113.4846499,YES,YES,MEDICINE SHOPPE PHARMACY 387
113-5271 MEMORIAL DR SE,,CALGARY,403-235-0081,,51.05308993,-113.9562593,YES,NO,UNIVERSAL PHARMACY
4912 PLAZA AVE,,SWAN HILLS,780-333-2722,,54.71806503,-115.4005221,YES,YES,REXALL #7211
115-4812C 43A AVE,,LEDUC,780-515-4245,ADULT XBB,53.2568128,-113.5408747,YES,YES,AHL PHARMACY
11-3735 RUNDLEHORN DR NE,,CALGARY,403-798-9280,ADULT XBB,51.07151283,-113.97887,YES,YES,RUNDLE PHARMACY
223 MAIN ST,,TROCHU,403-442-3823,ADULT XBB,51.82750492,-113.2272117,YES,YES,BALKWILL PHARMACY LTD.
38-665 BASELINE RD,,SHERWOOD PARK,780-890-0365,ADULT XBB,53.54075878,-113.2610638,YES,YES,HERITAGE HILLS PHARMACY
65 BOW ST,,COCHRANE,403-932-7257,,51.18703115,-114.4660452,YES,YES,SAVE-ON-FOODS PHARMACY #6637 - COCHRANE
392 ST. ALBERT RD,,ST ALBERT,780-459-8727,ADULT XBB,53.64397042,-113.6284436,YES,YES,SOBEYS PHARMACY #3101
SOUTHPARK VILLAGE,3931 CALGARY TR NW,EDMONTON,780-433-2575,ADULT XBB,53.47553197,-113.4940169,NO,YES,WAL-MART PHARMACY #1145
1031-200 SOUTHRIDGE DR,,OKOTOKS,403-917-0655,,50.70674987,-113.9778524,YES,YES,WESTMOUNT REMEDY'S RX PHARMACY
850 SADDLETOWNE CIR NE,,CALGARY,403-293-1670,,51.12375399,-113.9447021,YES,NO,FRESHCO PHARMACY #4291
3130-11 ROYAL VISTA DR NW,,CALGARY,403-800-6646,ADULT XBB,51.1500556,-114.2064574,NO,NO,CALGARY DRUG MART #03
110-31 LIBERTON DR,,ST ALBERT,587-764-0397,ADULT XBB,53.64578048,-113.6282527,NO,NO,DISPENSARIES (1991) LIMITED
6911 172 ST NW,,EDMONTON,780-481-5886,,53.50525835,-113.6192906,NO,NO,CALLINGWOOD PHARMACY
4448 50 AVE,,ST PAUL,780-645-3610,ADULT XBB,53.99186708,-111.2823593,YES,YES,GREG'S VALUE DRUG MART INC.
502 1 ST W,,BOW ISLAND,403-545-2929,,49.87036358,-111.3815024,YES,NO,BOW ISLAND APPLE DRUGS
20-872 HERITAGE BLVD W,,LETHBRIDGE,403-942-0120,ADULT XBB,49.69802021,-112.8923162,YES,NO,WESTBRIDGE PHARMACY
2-100 MILLIGAN DR,,OKOTOKS,403-982-7663,,50.73271622,-113.9667481,YES,NO,PHARMASAVE MILLIGAN DRIVE
6112 50 ST,,LEDUC,780-986-0364,,53.27397096,-113.5483837,YES,YES,SAFEWAY PHARMACY #8857
5309 ELLERSLIE RD SW,,EDMONTON,780-450-1116,ADULT XBB,53.42441104,-113.4251908,NO,YES,SOBEYS PHARMACY #5190
400-1000 HAMPTONS DR NW,,CALGARY,403-299-6715,ADULT XBB,51.14347029,-114.1295243,YES,YES,CALGARY CO-OP PHARMACY #17
627 CAMERON HEIGHTS DR NW,,EDMONTON,780-444-4884,ADULT XBB,53.4703489,-113.6312498,YES,YES,FRONTLINE PHARMACY
771 NORTH MOUNT DR NW,,CALGARY,403-454-5244,ADULT XBB,51.08260367,-114.0959373,YES,NO,MELL PHARMACY
9611 167 AVE NW,,EDMONTON,780-406-1005,ADULT XBB,53.62953371,-113.4896088,YES,YES,SOBEYS PHARMACY #3035
320 PINE CREEK RD,,HERITAGE POINTE,403-873-7530,ADULT XBB,50.83545577,-114.0014183,NO,YES,HERITAGE POINTE PHARMASAVE & COMPOUNDING #367
114-8180 MACLEOD TR SE,,CALGARY,403-253-7383,ADULT XBB,50.98199571,-114.0703651,YES,YES,MEDICINE SHOPPE PHARMACY 111
8335 20 AVE,,COLEMAN,403-563-3242,ADULT XBB,49.63676664,-114.493329,YES,YES,COLEMAN REMEDY'S RX
108-5401 TEMPLE DR NE,,CALGARY,403-460-0303,ADULT XBB,51.0851268,-113.9569255,YES,NO,TEMPLE MEDICAL CLINIC PHARMACY
5302 DISCOVERY WAY,,LEDUC,780-986-1995,ADULT XBB,53.26868359,-113.5697047,YES,YES,WAL-MART PHARMACY #3657
102-22919 97 AVE NW,,EDMONTON,780-426-7271,ADULT XBB,53.53675707,-113.7125368,YES,NO,PHARMASAVE #3045
32-4604 37 ST SW,,CALGARY,825-210-9716,,51.01325442,-114.1399128,YES,NO,RUTLAND COMPOUNDING PHARMACY
4-7930 BOWNESS RD NW,,CALGARY,403-288-4041,ADULT XBB,51.08913208,-114.2011653,YES,YES,MEDICINE SHOPPE PHARMACY 199
356-100 ANDERSON RD SE,,CALGARY,403-271-7877,,50.95353734,-114.0667463,NO,YES,SHOPPERS DRUG MART #316
600A PATRICIA ST,,JASPER,780-820-1091,ADULT XBB,52.87592181,-118.0818679,NO,YES,JASPER METTRA PHARMACY
110-2020 SHERWOOD DR,,SHERWOOD PARK,780-467-3222,ADULT XBB,53.53113465,-113.2930594,YES,YES,SAFEWAY PHARMACY #8924
5214B 50 AVE,,WETASKIWIN,780-352-2272,ADULT XBB,52.97032667,-113.3798258,NO,NO,MEDICINE SHOPPE PHARMACY 397
860 13 ST SE,,CALGARY,587-480-0178,ADULT XBB,51.04042942,-114.0309414,YES,YES,SAGE PLUS CLINICAL PHARMACY
10818 JASPER AVE NW,,EDMONTON,780-488-4665,ADULT XBB,53.54115103,-113.5068849,YES,NO,REXALL #7265
15956 109 AVE NW,,EDMONTON,780-540-9210,ADULT XBB,53.55419399,-113.5980598,YES,YES,A TO Z CARE PHARMACY
8704A MEADOWLARK RD,,EDMONTON,780-489-1150,,53.52005797,-113.596927,NO,NO,MEADOWLARK PHARMACY
4904 50 AVE,,ALIX,403-747-2405,,52.40035433,-113.1909133,YES,YES,ALIX DRUGS LTD.
5011 49 ST,,INNISFAIL,403-227-3500,ADULT XBB,52.02637881,-113.9507393,YES,YES,JACKSON'S PHARMASAVE #327
1711 4 ST SW,,CALGARY,403-228-5067,ADULT XBB,51.0372509,-114.0717656,YES,YES,RIDEAU PHARMACY
11-600 CROWFOOT CRES NW,,CALGARY,403-455-9939,ADULT XBB,51.12979307,-114.2039427,YES,YES,MEDICINE SHOPPE PHARMACY 260
120-140 BELLEROSE DR,,ST ALBERT,780-312-7575,,53.65077096,-113.6154427,YES,YES,PEOPLES PHARMACY 8058
5209 6 ST,,COALHURST,403-942-4577,ADULT XBB,49.74835515,-112.9250868,YES,YES,COALHURST IDA PHARMACY
2079 146 AVE SE,,CALGARY,403-278-1565,ADULT XBB,50.9198697,-114.0148617,YES,YES,DRUG SHOPPE
109-1424 SOUTHVIEW DR SE,,MEDICINE HAT,403-487-6131,,50.01055804,-110.6628391,YES,YES,SOUTHVIEW PHARMACY
9704 19 AVE NW,,EDMONTON,780-432-0439,ADULT XBB,53.44861631,-113.48138,YES,YES,LONDON DRUGS #57
100-2700 MAIN ST,,AIRDRIE,403-912-3703,,51.26905206,-114.0054135,NO,NO,CALGARY CO-OP PHARMACY #19
25-1301 8 ST SW,,AIRDRIE,403-912-7999,ADULT XBB,51.27234066,-114.0255833,YES,YES,SANDSTONE PHARMACY AIRDRIE
2-420 BIG ROCK LANE,,OKOTOKS,403-982-3784,ADULT XBB,50.71799586,-113.9802873,YES,YES,THE MEDICINE SHOPPE 425
3-5017 42 ST,,ST PAUL,780-645-4932,ADULT XBB,53.99264409,-111.2723541,YES,YES,CORNERSTONE CO-OP PHARMACY AT ST. PAUL
240-520 3 AVE SW,,CALGARY,403-454-4412,,51.0507308,-114.0688522,YES,YES,MEDIMAX PHARMACY
1332 WINDERMERE WAY SW,,EDMONTON,780-710-7107,ADULT XBB,53.43375229,-113.6180879,YES,YES,LIFECARE PHARMACY
190 NORTHEY AVE,,RED DEER,403-346-2367,ADULT XBB,52.30200945,-113.8265052,YES,YES,NORTHEY REMEDY'S RX PHARMACY
100-65 MACKENZIE WAY SW,,AIRDRIE,403-945-8903,,51.29068241,-114.0245764,YES,NO,SOBEYS PHARMACY #5172
4911 50 ST,,ATHABASCA,780-675-2188,ADULT XBB,54.72048468,-113.2862092,YES,NO,ATHABASCA VALUE DRUG MART
2931 20 AVE S,,LETHBRIDGE,403-328-0822,ADULT XBB,49.67337327,-112.7976771,YES,YES,WOODS DISPENSARY
10415 51 AVE NW,,EDMONTON,780-430-1995,ADULT XBB,53.48753234,-113.4983305,YES,NO,GUARDIAN PHARMACY - TRAIL SOUTH
8855 MACLEOD TR SW,,CALGARY,403-640-7617,ADULT XBB,50.97449255,-114.0719797,YES,NO,SAVE-ON-FOODS PHARMACY #6634
1219 11 AVE SW,,CALGARY,587-392-5857,ADULT XBB,51.04319727,-114.0900798,YES,NO,PHARMASAVE JO'S BELTLINE PHARMACY
MEADOWLARK MALL,8720 156 ST NW,EDMONTON,780-486-0669,ADULT XBB,53.51996445,-113.5898741,YES,YES,SAFEWAY PHARMACY #8855
5011 118 AVE NW,,EDMONTON,780-448-6048,ADULT XBB,53.5700831,-113.4188665,YES,NO,MEDICINE SHOPPE PHARMACY 105
3921 106 ST,,EDMONTON,780-244-4221,ADULT XBB,53.47516003,-113.5039368,YES,NO,MIRACARE PHARMACY
5750 2 AVE,,EDSON,780-723-6347,ADULT XBB,53.57767726,-116.4493003,YES,NO,WAL-MART PHARMACY #1048
8130 82 AVE,,EDMONTON,587-521-8251,ADULT XBB,53.51851543,-113.4541412,YES,YES,BONNIE DOON PHARMACY
200-9499 137 AVE NW,,EDMONTON,780-472-0907,ADULT XBB,53.59840962,-113.4902315,NO,YES,SAFEWAY PHARMACY #8892
7-2111 CENTRE ST NW,,CALGARY,403-276-7076,ADULT XBB,51.07131481,-114.0629897,YES,NO,EXALAN PHARMACY
25 8 ST NW,,MEDICINE HAT,403-526-5959,ADULT XBB,50.04956315,-110.6878638,NO,YES,SANDSTONE PHARMACIES CRESCENT HEIGHTS
1472 MCCONACHIE BLVD NW,,EDMONTON,780-350-0500,ADULT XBB,53.64010074,-113.4413499,YES,YES,MCCONACHIE PHARMACY
200 CORNERSTONE,6800  48 AVE,CAMROSE,780-672-1680,ADULT XBB,53.0180857,-112.872364,YES,YES,SAFEWAY PHARMACY #8883
2631 151 AVE NW,,EDMONTON,780-473-3302,ADULT XBB,53.61554888,-113.378955,YES,NO,PHARMASAVE #3042
6255 ANDREWS LOOP SW,,EDMONTON,780-391-1315,ADULT XBB,53.42738229,-113.5902105,YES,YES,ACCESS PHARMACY
309 JAMIESON AVE,PO BOX 340,PICTURE BUTTE,403-732-5511,ADULT XBB,49.87690333,-112.7786935,YES,NO,THE PICTURE BUTTE PHARMACY (PHARMASAVE #388)
4917A 50 AVE,,STONY PLAIN,780-963-8432,,53.53008497,-114.0066996,YES,NO,CO-OP PHARMACY STONY PLAIN
159 MAHOGANY CENTRE SE,,CALGARY,403-299-5808,ADULT XBB,50.89697308,-113.9348758,YES,YES,CURIS RX PHARMACY MAHOGANY
9360 SOUTHFORT DR,,FORT SASKATCHEWAN,780-998-2236,,53.69515133,-113.2166138,YES,YES,SHOPPERS DRUG MART #378
7048-2060 SYMONS VALLEY,PKWY NW,CALGARY,403-266-1450,ADULT XBB,51.17595078,-114.10752,YES,NO,FRESHCO PHARMACY #4311
408 4 AVE S,,LETHBRIDGE,403-380-3535,ADULT XBB,49.69444898,-112.8403498,NO,YES,STOKES PHARMACY
31 LEWIS ESTATES BLVD NW,,EDMONTON,587-523-5353,ADULT XBB,53.51407413,-113.6768989,YES,YES,LEWIS ESTATES PHARMACY
101-13025 ST. ALBERT TR NW,,EDMONTON,587-689-5545,ADULT XBB,53.59016667,-113.5640447,YES,YES,WELL AND TRULY RX
3416 43 AVE NW,,EDMONTON,780-757-0098,ADULT XBB,53.48115446,-113.3941707,NO,YES,BURNEWOOD SQUARE PHARMACY
A06-4900 MOLLY BANNISTER DR,,RED DEER,403-343-3355,ADULT XBB,52.24500718,-113.8135569,YES,YES,SHOPPERS DRUG MART 326
PARKLAND MALL SHOPPING CENTRE,6375 50 AVE,RED DEER,403-347-1123,ADULT XBB,52.28672112,-113.8107538,YES,YES,WAL-MART PHARMACY #3075
4122 BRENTWOOD RD NW,,CALGARY,403-299-4308,,51.08844285,-114.1308792,YES,YES,CALGARY CO-OP PHARMACY #4
1030 WEBBER GREENS DR NW,,EDMONTON,780-489-7762,ADULT XBB,53.52446724,-113.6698218,NO,NO,FRESHCO PHARMACY #4303
106-26 CRYSTALRIDGE DR,,OKOTOKS,403-982-0029,,50.72377996,-113.956598,YES,YES,IDA CRYSTALRIDGE PHARMACY
9614 76 AVE NW,,EDMONTON,780-758-3887,,53.51261849,-113.4773309,YES,YES,RITCHIE PHARMACY
M5-9509 156 ST NW,,EDMONTON,780-484-9595,ADULT XBB,53.5319921,-113.5898311,YES,YES,CARERX COMPOUNDING EDMONTON
4939 50 AVE,,VERMILION,780-853-5316,ADULT XBB,53.35387293,-110.8522407,YES,YES,LONG'S VALUE DRUG MART
108-2841 109 ST NW,,EDMONTON,780-437-7553,ADULT XBB,53.45995353,-113.5092396,NO,YES,BLUE QUILL PHARMACY
109-5809 MACLEOD TR SW,,CALGARY,403-460-3825,ADULT XBB,51.00187606,-114.0724615,YES,NO,HEALTH WAY PHARMACY
12903 153 AVE NW,,EDMONTON,780-476-7047,ADULT XBB,53.61578254,-113.5432854,YES,YES,SAVE-ON-FOODS PHARMACY #6667
103A-1205 BOW VALLEY TR,,CANMORE,403-609-4100,ADULT XBB,51.09179542,-115.3508584,YES,YES,GRASSROOTS PHARMACY
13222 127 ST NW,,EDMONTON,780-761-0041,ADULT XBB,53.59290011,-113.5417425,YES,YES,WELLINGTON PHARMACY
9122 82 AVE NW,,EDMONTON,780-760-1131,ADULT XBB,53.51849723,-113.46857,YES,YES,MEDICINE SHOPPE PHARMACY 328
78-4307 130 AVE SE,,CALGARY,403-475-8612,ADULT XBB,50.93059254,-113.9730717,NO,YES,SOUTH TRAIL PHARMACY
1-100 SIGNAL RD,,FORT MCMURRAY,7806071986,ADULT XBB,56.7322678,-111.4261994,YES,YES,WOOD BUFFALO IDA PHARMACY
15-1300 VILLAGE LN,,OKOTOKS,403-938-0110,ADULT XBB,50.71953681,-113.9835183,NO,NO,VILLAGE LANE PHARMACY
30 JERRY POTTS BLVD,,LETHBRIDGE,403-381-7712,ADULT XBB,49.6796955,-112.8868217,YES,NO,PRESCRIPTION CENTRE WEST
100-2675 36 ST NE,,CALGARY,403-291-0076,ADULT XBB,51.07748805,-113.9825869,NO,YES,MEDICINE SHOPPE PHARMACY 171
7915 106 AVE NW,,EDMONTON,780-469-8222,ADULT XBB,53.54914065,-113.4502491,YES,NO,MEDICINE SHOPPE PHARMACY 103
5022 51 St,,ANDREW,780-365-3832,ADULT XBB,53.8791014,-112.335321,YES,YES,ANDREW PHARMACY AND HOME HEALTHCARE
300 VETERANS BLVD NE,,AIRDRIE,403-945-2335,ADULT XBB,51.30354079,-114.011087,YES,YES,DRUGSTORE PHARMACY #1540
114-10325 BONAVENTURE DR SE,,CALGARY,403-271-8160,,50.96051322,-114.0697877,YES,YES,NULIFE PHARMACY
103A-3009 14 ST SW,,CALGARY,403-764-3080,ADULT XBB,51.02730152,-114.0950098,YES,YES,PHARM DRUGSTORE
4805 167 AVE NW,,EDMONTON,587-459-7683,ADULT XBB,53.62743781,-113.4086676,YES,NO,SAVE-ON-FOODS PHARMACY #6620 - 50TH ST MARKET
3-704 MAIN ST SE,,AIRDRIE,403-980-1587,ADULT XBB,51.28657466,-114.0122088,YES,YES,MEDICINE SHOPPE PHARMACY 411
4700 130 AVE SE,,CALGARY,403-257-6530,ADULT XBB,50.93356613,-113.9668006,NO,YES,LOBLAW PHARMACY #1546
688 WYE RD,,SHERWOOD PARK,780-416-7925,ADULT XBB,53.5128116,-113.2718756,YES,YES,SOBEYS PHARMACY #3153
5244 199 ST NW,,EDMONTON,780-705-6660,,53.48849241,-113.6650473,YES,YES,PHARMASAVE HAMPTONS
10930 82 AVE NW,,EDMONTON,780-439-9767,ADULT XBB,53.51888628,-113.51342,NO,YES,SAFEWAY PHARMACY #8895
127 HENDAY CENTRE,4804 50 ST,INNISFAIL,403-227-1111,ADULT XBB,52.0295027,-113.9460883,YES,YES,SANDSTONE PHARMACIES HENDAY CENTRE
10085 166 ST NW,,EDMONTON,587-855-3828,ADULT XBB,53.54056948,-113.6069452,YES,YES,ACCESS PHARMACY WEST
1016A 20 ST S,,LETHBRIDGE,403-380-3282,ADULT XBB,49.68312623,-112.8132212,YES,YES,MEDICINE SHOPPE PHARMACY 127
104-75 DYRGAS GATE,,CANMORE,403-678-2220,ADULT XBB,51.05563591,-115.3221395,YES,YES,THREE SISTERS PHARMACY
101-83 DEERPOINT RD SE,,CALGARY,587-554-5588,ADULT XBB,50.9268828,-114.0289032,NO,YES,DEER VALLEY PHARMACY
6838 ELLERSLIE RD SW,,EDMONTON,825-404-6884,ADULT XBB,53.42579922,-113.4455119,YES,YES,SUMMERSIDE VALUE DRUG MART
20-5011 48 AVE,,PONOKA,403-783-7333,ADULT XBB,52.6743895,-113.578527,NO,YES,PONOKA PROFESSIONAL PHARMACY
200 STEWART GREEN SW,,CALGARY,403-246-0336,ADULT XBB,51.01460372,-114.1670197,NO,NO,SAFEWAY PHARMACY #8852
10-4005 CLOVER BAR RD,,SHERWOOD PARK,780-417-0600,ADULT XBB,53.55835314,-113.2737315,YES,NO,SAVE-ON-FOODS PHARMACY #6679
12307 63 AVE NW,,EDMONTON,780-433-5609,ADULT XBB,53.50006936,-113.5420875,NO,NO,GRANDVIEW PHARMACY
5421 50 ST,,LEDUC,780-980-3214,ADULT XBB,53.26970139,-113.5504886,YES,YES,LEDUC CO-OP PHARMACY
100-250 SHAWVILLE BLVD SE,,CALGARY,403-299-4439,ADULT XBB,50.90319486,-114.0637289,YES,YES,CALGARY CO-OP PHARMACY #14
7469 101 AVE,,EDMONTON,780-485-1602,ADULT XBB,53.54087065,-113.4420631,YES,YES,SHOPPERS DRUG MART 381
9-15 MILLRISE BLVD SW,,CALGARY,587-329-5858,ADULT XBB,50.9205757,-114.076119,NO,YES,MILLRISE PHARMACY
23C AKINS DR,,ST ALBERT,780-569-5140,,53.63048065,-113.5932447,YES,NO,GREEN APPLE PHARMACY
3915 50 ST,,LEDUC,780-980-8281,ADULT XBB,53.25286561,-113.5424571,YES,YES,LOBLAW PHARMACY #4950
700 ST. ALBERT RD,,ST ALBERT,780-458-3597,ADULT XBB,53.65934321,-113.6343196,NO,NO,WAL-MART PHARMACY #3087
104-320 WEST CREEK DR,,CHESTERMERE,403-454-0020,ADULT XBB,51.02914791,-113.8416564,YES,YES,WEST CREEK PHARMASAVE
123-11501 BUFFALO RUN BLVD,,TSUUT'INA,825-414-0894,,50.95269195,-114.1483898,YES,YES,BUFFALO RUN PHARMACY
500 MANNING CROSS NW,,EDMONTON,780-475-2736,ADULT XBB,53.60139504,-113.4228698,YES,YES,SAFEWAY PHARMACY #8879
4906 50 ST,,CONSORT,403-577-3644,,52.0075729,-110.7758898,YES,YES,CONSORT PHARMACY
15367 CASTLEDOWNS RD NW,,EDMONTON,780-472-0100,ADULT XBB,53.61583302,-113.5145109,YES,YES,SOBEYS PHARMACY #3132
104-10430 61 AVE NW,,EDMONTON,587-499-2622,ADULT XBB,53.49859658,-113.4995369,YES,YES,BALSAM PHARMACY
128-6707 ELBOW DR SW,,CALGARY,403-259-6893,ADULT XBB,50.99368257,-114.0840543,YES,NO,MAYFAIR PHARMACY
156 ST & 87 AVE NW,,EDMONTON,780-486-5296,ADULT XBB,53.52064723,-113.5945744,YES,YES,WAL-MART PHARMACY #1149
1820 STRACHAN RD SE,,MEDICINE HAT,403-526-6135,,50.00003121,-110.6489731,YES,NO,SAVE-ON-FOODS PHARMACY #6643
300-2 HEBERT RD,,ST ALBERT,780-460-9339,ADULT XBB,53.62263206,-113.6059874,YES,YES,FRESHCO PHARMACY #4297
7-1603 62 AVE SE,,CALGARY,587-391-9878,ADULT XBB,50.99746705,-114.020351,YES,NO,OGDEN PHARMACY
172-270 BASELINE RD,,SHERWOOD PARK,780-570-0203,ADULT XBB,53.5420813,-113.3100614,YES,YES,MEDICINE SHOPPE PHARMACY 365
10652 WINTERBURN RD NW,,EDMONTON,825-202-8450,ADULT XBB,53.55168657,-113.6897877,YES,YES,PHARMASAVE #3011
70 HEWLETT PARK LANDNG,,SYLVAN LAKE,403-887-1310,ADULT XBB,52.30574461,-114.0748064,NO,NO,DRUGSTORE PHARMACY #4390
9-728 NORTHMOUNT DR NW,,CALGARY,403-289-9181,ADULT XBB,51.08230306,-114.09281,YES,YES,CAMBRIAN PHARMACY
4926 46 AVE,,TABER,403-223-5984,ADULT XBB,49.78568311,-112.1290169,NO,NO,SOUTH COUNTRY CO-OP LTD. @TABER PHARMACY
13578B FORT RD NW,,EDMONTON,587-524-9928,ADULT XBB,53.59859406,-113.4228558,YES,YES,WHOLE HEALTH PHARMACY EDMONTON
104-305 10 ST NW,,CALGARY,825-540-1500,ADULT XBB,51.05451586,-114.0862431,YES,YES,HEATHERS PHARMACY
340-4602 46 ST,,OLDS,403-791-0011,ADULT XBB,51.79546377,-114.0966444,YES,YES,PRIME PHARMACY
112-4925 50 AVE,,VEGREVILLE,780-632-7660,ADULT XBB,53.49392775,-112.0520065,YES,YES,VEGREVILLE DRUG MART
6260 199 ST NW,,EDMONTON,780-483-8216,ADULT XBB,53.4955426,-113.6671982,NO,YES,SAVE-ON-FOODS PHARMACY #6615
4940 RICHMOND RD SW,,CALGARY,403-299-4487,ADULT XBB,51.01911946,-114.1589891,NO,YES,CALGARY CO-OP PHARMACY #6
11823 40 AVE NW,,EDMONTON,780-250-5979,ADULT XBB,53.47610024,-113.5378915,YES,YES,ASPEN PEOPLES PHARMACY CLINIC
110-8500 BLACKFOOT TR SE,,CALGARY,403-253-5700,ADULT XBB,50.97661519,-114.046636,YES,YES,MEADOWS MILE PHARMACY
MASKWACIS HEALTH CENTRE,HWY 2,MASKWACIS,780-585-2379,ADULT XBB,52.83543285,-113.4514457,YES,YES,ROOTS & BERRIES PHARMACY
101-3514 ALLAN DR SW,,EDMONTON,780-705-8871,,53.42906326,-113.5909519,YES,YES,ICARE PHARMACY WINDERMERE
105-4411 16 AVE NW,,CALGARY,403-247-9502,ADULT XBB,51.06805148,-114.1588588,YES,NO,MEDICINE SHOPPE PHARMACY 178
125-8888 COUNTRY HILLS BLVD NW,,CALGARY,403-239-7455,,51.15178225,-114.2131886,YES,NO,SOBEYS PHARMACY #1129
937 FIR ST,,SHERWOOD PARK,780-464-3232,ADULT XBB,53.51266802,-113.332117,YES,YES,DISPENSARIES (1991) LIMITED
2790 32 AVE NE,,CALGARY,403-453-2443,ADULT XBB,51.08199601,-113.9952041,YES,YES,UNITED PHARMACY
20-4005 CLOVER BAR RD,,SHERWOOD PARK,780-449-3319,ADULT XBB,53.55758682,-113.2731278,YES,YES,SHOPPERS DRUG MART #2313
168-3210 118 AVE NW,,EDMONTON,780-477-9200,ADULT XBB,53.57167948,-113.3905842,NO,NO,COLES PHARMACY
300 HIGH COUNTRY DR NW,,HIGH RIVER,403-652-2499,ADULT XBB,50.59275239,-113.8790114,NO,NO,GREEN GABLES PHARMACY HIGH RIVER
10660 156 ST NW,,EDMONTON,780-244-1390,ADULT XBB,53.55070486,-113.5903277,YES,NO,WEST HEALTH PHARMACY
700-2220 68 ST NE,,CALGARY,403-299-2612,ADULT XBB,51.0684625,-113.9336307,YES,YES,CALGARY CO-OP PHARMACY #15
4718 50 AVE,,LEGAL,780-961-2285,ADULT XBB,53.94939126,-113.5910932,YES,YES,PHARMASAVE #312 LEGAL
2747 182 ST SW,,EDMONTON,587-855-3385,,53.41134567,-113.6358078,YES,NO,ACE PHARMACY
985 FIR ST,,SHERWOOD PARK,780-467-0153,ADULT XBB,53.51350895,-113.3237122,YES,YES,SAFEWAY PHARMACY #8874
6213 CENTRE ST NW,,CALGARY,403-274-2444,ADULT XBB,51.10788492,-114.0633693,YES,YES,SANDSTONE PHARMACIES SIMONS VALLEY
128-4211 106 ST,,EDMONTON,780-438-1040,ADULT XBB,53.48089958,-113.5001091,YES,YES,MEDICINE SHOPPE PHARMACY 114
100-41 ST. THOMAS ST,,ST ALBERT,780-470-5672,ADULT XBB,53.63282885,-113.6259854,YES,NO,MIDTOWN APOTHECARY
2304 109 ST NW,,EDMONTON,780-430-4269,ADULT XBB,53.45485953,-113.5090448,YES,YES,SAFEWAY PHARMACY #8921
1917 17 ST,,COALDALE,403-345-5189,ADULT XBB,49.72808139,-112.617801,YES,YES,GOOD HEALTH DISPENSARY
1010 1 AVE  NE,,CALGARY,403-269-6440,ADULT XBB,51.05342892,-114.0401932,NO,NO,BRIDGEDALE PHARMACY
12-200 MAIN AVE W,,SUNDRE,403-638-4510,ADULT XBB,51.79766979,-114.6411493,NO,YES,SUNDRE FAMILY PHARMACY
65-1240 2A AVE N,,LETHBRIDGE,403-320-5151,ADULT XBB,49.70031952,-112.8291558,YES,YES,LONDON DRUGS #38
101-5124 122 ST NW,,EDMONTON,780-437-9910,ADULT XBB,53.48945333,-113.5425297,YES,YES,LANSDOWNE PHARMASAVE
300 DENHAM LANDING,3600 56 ST,WETASKIWIN,780-352-8494,,52.95355173,-113.3948691,YES,YES,WAL-MART PHARMACY #3112
108-1 HAWTHORNE GATE,,SPRUCE GROVE,780-760-7621,ADULT XBB,53.55346652,-113.933568,YES,YES,MEDICINE SHOPPE PHARMACY 410
4501 BRISEBOIS DR NW,,CALGARY,403-282-1208,ADULT XBB,51.09340467,-114.127905,YES,YES,PHARMASAVE ON NORTHMOUNT
100-5005 DALHOUSIE DR NW,,CALGARY,403-202-0444,ADULT XBB,51.10549355,-114.1612934,YES,YES,SAFEWAY PHARMACY #8844
2303 4 ST SW,,CALGARY,403-229-3458,ADULT XBB,51.03231993,-114.0718985,YES,YES,MEDICINE SHOPPE PHARMACY 194
28 PANATELLA BLVD NW,,CALGARY,403-460-6707,ADULT XBB,51.16547718,-114.0712342,NO,YES,PANORAMA HILLS PHARMACY
